#,Arrival,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Cash,Mobile Payment / Credit Card,Self-Checkout,Manual Counter
69,19:19:14,19:56:17,19:58:35,37:03.0,02:18.0,0,7,0,1,0,1
70,19:21:08,19:59:09,20:02:42,38:01.0,03:33.0,0,12,0,1,0,1
71,19:25:21,20:04:03,20:06:18,38:42.0,02:15.0,0,6,0,1,0,1
72,19:32:20,20:06:35,20:09:48,34:15.0,03:13.0,0,8,0,1,0,1
73,19:35:38,20:10:14,20:16:33,34:36.0,06:19.0,0,19,0,1,0,1
74,19:37:05,20:17:21,20:19:30,40:16.0,02:09.0,0,12,0,1,0,1
75,19:38:36,20:20:59,20:25:47,42:23.0,04:48.0,0,22,1,0,0,1
76,19:40:59,20:26:52,20:32:15,45:53.0,05:23.0,0,25,0,1,0,1
77,19:46:05,20:33:52,20:40:14,47:47.0,06:22.0,0,29,1,0,0,1
78,19:47:05,0,0,01:21.0,0,19:48:26,0,0,0,0,1
79,19:49:31,20:40:58,20:49:24,51:27.0,08:26.0,0,38,0,1,0,1
80,19:54:15,20:49:57,20:53:18,55:42.0,03:21.0,0,13,0,1,0,1
81,19:59:26,20:55:07,20:56:21,55:41.0,01:14.0,0,5,1,0,0,1
