#,Arrival,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Cash,Mobile Payment / Credit Card,Self-Checkout,Manual Counter
1,12:35:31,12:38:57,12:47:48,03:26.0,08:51.0,0,41,1,0,0,1
2,12:36:53,12:49:13,12:51:44,12:20.0,02:31.0,0,2,0,1,0,1
3,12:37:57,12:53:04,12:58:57,15:07.0,05:53.0,0,18,0,1,0,1
4,12:38:55,13:00:46,13:05:58,21:51.0,05:12.0,0,19,0,1,0,1
5,12:39:30,13:06:48,13:13:29,27:18.0,06:41.0,0,24,1,0,0,1
6,12:43:32,13:13:36,13:15:45,30:04.0,02:09.0,0,3,1,0,0,1
7,12:45:09,13:16:00,13:20:31,30:51.0,04:31.0,0,31,1,0,0,1
8,12:46:15,13:22:15,13:25:05,36:00.0,02:50.0,0,5,1,0,0,1
9,12:55:17,13:25:06,13:29:05,29:49.0,03:59.0,0,21,1,0,0,1
10,12:59:50,13:31:00,13:32:54,31:10.0,01:54.0,0,1,0,1,0,1
11,13:02:02,13:34:14,13:41:46,32:12.0,07:32.0,0,27,1,0,0,1
12,13:04:26,13:42:38,13:46:56,38:12.0,04:18.0,0,18,1,0,0,1
13,13:16:38,13:48:46,13:50:11,32:08.0,01:25.0,0,1,0,1,0,1
14,13:26:04,13:51:03,13:54:51,24:59.0,03:48.0,0,19,0,1,0,1
15,13:27:00,13:56:27,14:03:14,29:27.0,06:47.0,0,21,0,1,0,1
16,13:31:07,14:04:36,14:06:41,33:29.0,02:05.0,0,4,1,0,0,1
17,13:31:45,14:08:32,14:13:00,36:47.0,04:28.0,0,18,1,0,0,1
18,13:35:22,14:13:43,14:15:33,38:21.0,01:50.0,0,2,1,0,0,1
19,13:35:30,0,0,01:30.0,0,13:37:00,0,0,0,0,1
20,13:36:28,14:16:24,14:25:05,39:56.0,08:41.0,0,39,1,0,0,1
21,13:38:12,0,0,00:45.0,0,13:38:57,0,0,0,0,1
22,13:44:44,14:26:05,14:28:42,41:21.0,02:37.0,0,4,0,1,0,1
23,13:50:58,14:30:08,14:31:48,39:10.0,01:40.0,0,1,1,0,0,1
24,13:56:55,14:33:38,14:41:35,36:43.0,07:57.0,0,20,1,0,0,1
25,14:02:26,14:43:27,14:44:59,41:01.0,01:32.0,0,31,0,1,0,1
26,14:05:10,14:46:44,14:50:25,41:34.0,03:41.0,0,28,0,1,0,1
27,14:07:33,14:51:06,14:54:08,43:33.0,03:02.0,0,20,0,1,0,1
28,14:09:52,14:54:57,15:00:36,45:05.0,05:39.0,0,15,0,1,0,1
29,14:17:17,15:02:31,15:04:36,45:14.0,02:05.0,0,5,0,1,0,1
30,14:19:58,15:05:15,15:07:40,45:17.0,02:25.0,0,5,0,1,0,1
31,14:22:53,15:08:06,15:11:35,45:13.0,03:29.0,0,12,1,0,0,1
32,14:25:23,15:12:57,15:17:55,47:34.0,04:58.0,0,17,0,1,0,1
33,14:28:43,15:18:25,15:22:40,49:42.0,04:15.0,0,16,1,0,0,1
34,14:29:13,15:23:33,15:28:11,54:20.0,04:38.0,0,19,0,1,0,1
35,15:26:10,15:26:18,15:34:21,00:08.0,08:03.0,0,40,1,0,0,1
36,15:41:47,15:41:49,15:45:05,00:02.0,03:16.0,0,13,1,0,0,1
37,15:43:07,15:45:32,15:46:58,02:25.0,01:26.0,0,3,1,0,0,1
38,15:45:28,15:47:53,15:51:41,02:25.0,03:48.0,0,13,0,1,0,1
39,16:32:02,16:32:12,16:37:45,00:10.0,05:33.0,0,20,0,1,0,1
40,16:35:31,16:39:01,16:40:06,03:30.0,01:05.0,0,1,1,0,0,1
41,16:37:16,16:40:44,16:44:39,03:28.0,03:55.0,0,9,0,1,0,1
42,16:39:24,16:44:57,16:47:55,05:33.0,02:58.0,0,12,1,0,0,1
43,16:45:37,16:48:57,16:50:27,03:20.0,01:30.0,0,2,0,1,0,1
44,16:49:05,16:51:05,16:56:31,02:00.0,05:26.0,0,21,1,0,0,1
45,16:55:15,16:56:55,16:58:35,01:40.0,01:40.0,0,1,1,0,0,1
46,16:58:31,16:59:13,17:02:32,00:42.0,03:19.0,0,5,1,0,0,1
47,18:01:46,18:01:49,18:07:56,00:03.0,06:07.0,0,23,1,0,0,1
48,18:03:03,18:09:40,18:15:28,06:37.0,05:48.0,0,33,0,1,0,1
49,18:05:00,18:16:39,18:21:34,11:39.0,04:55.0,0,19,0,1,0,1
50,18:05:46,18:23:33,18:28:38,17:47.0,05:05.0,0,20,0,1,0,1
51,18:09:45,18:29:30,18:33:41,19:45.0,04:11.0,0,15,0,1,0,1
52,18:14:04,18:34:00,18:36:14,19:56.0,02:14.0,0,6,1,0,0,1
53,18:18:24,18:37:43,18:42:50,19:19.0,05:07.0,0,38,0,1,0,1
54,18:19:17,18:43:38,18:45:54,24:21.0,02:16.0,0,8,0,1,0,1
55,18:24:44,18:46:44,18:48:56,22:00.0,02:12.0,0,7,1,0,0,1
56,18:27:15,18:49:38,18:53:29,22:23.0,03:51.0,0,12,0,1,0,1
57,18:29:19,18:54:59,18:57:53,25:40.0,02:54.0,0,24,0,1,0,1
58,18:32:12,18:58:10,19:02:50,25:58.0,04:40.0,0,18,0,1,0,1
59,18:33:14,19:03:52,19:10:38,30:38.0,06:46.0,0,28,1,0,0,1
60,18:36:08,19:11:37,19:17:25,35:29.0,05:48.0,0,15,0,1,0,1
61,18:38:20,19:19:15,19:23:48,40:55.0,04:33.0,0,14,0,1,0,1
62,18:42:49,19:25:28,19:29:03,42:39.0,03:35.0,0,13,0,1,0,1
63,18:45:00,19:29:33,19:31:24,44:33.0,01:51.0,0,2,0,1,0,1
64,18:48:56,19:32:18,19:34:32,43:22.0,02:14.0,0,3,1,0,0,1
65,18:55:07,19:34:53,19:35:54,39:46.0,01:01.0,0,1,1,0,0,1
66,19:09:49,19:37:12,19:39:21,27:23.0,02:09.0,0,6,1,0,0,1
67,19:11:15,19:41:07,19:48:48,29:52.0,07:41.0,0,29,1,0,0,1
68,19:15:05,19:50:03,19:56:03,34:58.0,06:00.0,0,26,1,0,0,1
