#,Arrival,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Cash,Mobile Payment / Credit Card,Self-Checkout,Manual Counter
1,12:35:08,12:38:18,12:42:21,03:10.0,04:03.0,0,24,1,0,0,1
2,12:35:46,12:42:36,12:47:31,06:50.0,04:55.0,0,28,0,1,0,1
3,12:37:12,12:47:52,12:49:12,10:40.0,01:20.0,0,6,0,1,0,1
4,12:41:01,12:49:30,12:51:01,08:29.0,01:31.0,0,8,0,1,0,1
5,12:42:33,12:52:13,12:53:39,09:40.0,01:26.0,0,10,1,0,0,1
6,12:42:41,12:54:01,12:55:23,11:20.0,01:22.0,0,7,0,1,0,1
7,12:50:22,12:55:50,12:58:26,05:28.0,02:36.0,0,12,0,1,0,1
9,12:55:05,13:06:21,13:11:19,11:16.0,04:58.0,0,20,0,1,0,1
10,12:55:18,13:12:33,13:17:02,17:15.0,04:29.0,0,18,0,1,0,1
12,12:59:10,13:17:11,13:21:27,18:01.0,04:16.0,0,16,0,1,0,1
13,13:08:16,13:22:42,13:24:06,14:26.0,01:24.0,0,6,0,1,0,1
14,13:14:32,13:24:13,13:25:23,09:41.0,01:10.0,0,5,0,1,0,1
15,13:15:23,13:25:57,13:30:02,10:34.0,04:05.0,0,10,1,0,0,1
16,13:15:28,0,0,11:00.0,0,13:16:39,0,0,0,0,1
17,13:18:55,13:31:24,13:34:43,12:29.0,03:19.0,0,12,0,1,0,1
18,13:24:48,13:36:31,13:41:41,11:43.0,05:10.0,0,18,1,0,0,1
19,13:25:57,13:43:02,13:49:57,17:05.0,06:55.0,0,27,1,0,0,1
20,13:26:13,0,0,30:00.0,0,13:26:43,0,0,0,0,1
21,13:26:13,0,0,30:00.0,0,13:26:43,0,0,0,0,1
22,13:31:16,13:50:50,13:56:57,19:34.0,06:07.0,0,24,1,0,0,1
23,13:38:33,13:57:39,14:00:42,19:06.0,03:03.0,0,16,0,1,0,1
24,13:49:25,14:02:27,14:07:11,13:02.0,04:44.0,0,20,1,0,0,1
25,13:50:20,14:08:21,14:10:22,18:01.0,02:01.0,0,11,0,1,0,1
26,13:51:25,14:11:28,14:17:56,20:03.0,06:28.0,0,28,1,0,0,1
27,13:59:31,14:19:14,14:25:30,19:43.0,06:16.0,0,22,1,0,0,1
28,14:09:33,14:25:39,14:30:55,16:06.0,05:16.0,0,16,1,0,0,1
33,14:13:25,14:31:54,14:34:25,18:29.0,02:31.0,0,2,1,0,0,1
34,14:18:21,14:34:48,14:39:35,16:27.0,04:47.0,0,17,1,0,0,1
35,14:23:25,14:40:04,14:42:28,16:39.0,02:24.0,0,5,0,1,0,1
