#,Arrival,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Cash,Mobile Payment / Credit Card,Self-Checkout,Manual Counter
36,15:04:16,15:04:25,15:09:30,00:09.0,05:05.0,0,21,0,1,0,1
37,15:14:32,15:14:52,15:15:58,00:20.0,01:06.0,0,1,0,1,0,1
38,15:25:23,15:25:45,15:29:34,00:22.0,03:49.0,0,13,0,1,0,1
39,15:37:55,15:37:59,15:43:05,00:04.0,05:06.0,0,25,0,1,0,1
40,15:52:48,15:53:00,15:57:09,00:12.0,04:09.0,0,18,0,1,0,1
41,16:04:57,16:04:59,16:09:46,00:02.0,04:47.0,0,21,0,1,0,1
42,16:22:16,16:22:18,16:23:32,00:02.0,01:14.0,0,1,1,0,0,1
43,16:40:33,16:40:39,16:44:20,00:06.0,03:41.0,0,9,1,0,0,1
44,16:51:25,16:51:29,16:52:43,00:04.0,01:14.0,0,2,1,0,0,1
45,16:55:20,16:55:28,16:59:32,00:08.0,04:04.0,0,9,1,0,0,1
46,16:57:25,17:00:49,17:06:48,03:24.0,05:59.0,0,15,0,1,0,1
47,18:01:31,18:02:42,18:08:25,01:11.0,05:43.0,0,19,1,0,0,1
48,18:05:33,18:10:10,18:13:32,04:37.0,03:22.0,0,10,1,0,0,1
49,18:08:25,18:13:39,18:14:52,05:14.0,01:13.0,0,2,1,0,0,1
50,18:09:34,18:16:25,18:21:59,06:51.0,05:34.0,0,14,0,1,0,1
51,18:16:39,18:23:07,18:26:45,06:28.0,03:38.0,0,9,1,0,0,1
52,18:18:22,18:28:02,18:30:06,09:40.0,02:04.0,0,5,1,0,0,1
53,18:22:42,0,0,02:29.0,0,18:25:11,0,0,0,0,1
54,18:25:25,18:31:13,18:32:19,05:48.0,01:06.0,0,1,1,0,0,1
55,18:28:21,18:34:17,18:38:11,05:56.0,03:54.0,0,3,0,1,0,1
56,18:28:56,0,0,00:18.0,0,18:29:14,0,0,0,0,1
57,18:29:25,18:38:52,18:41:41,09:27.0,02:49.0,0,5,0,1,0,1
58,18:31:33,18:42:53,18:46:17,11:20.0,03:24.0,0,5,0,1,0,1
59,18:33:25,18:46:27,18:50:43,13:02.0,04:16.0,0,8,0,1,0,1
60,18:33:34,18:52:11,18:53:53,18:37.0,01:42.0,0,1,0,1,0,1
63,18:35:25,18:55:00,19:00:36,19:35.0,05:36.0,0,18,0,1,0,1
64,18:38:21,19:02:31,19:06:13,24:10.0,03:42.0,0,12,1,0,0,1
68,18:44:34,19:06:44,19:11:43,22:10.0,04:59.0,0,22,0,1,0,1
69,18:46:39,19:13:07,19:18:23,26:28.0,05:16.0,0,21,1,0,0,1
70,18:48:22,19:20:22,19:22:16,32:00.0,01:54.0,0,2,0,1,0,1
74,18:55:21,19:23:23,19:29:38,28:02.0,06:15.0,0,22,1,0,0,1
76,19:00:25,0,0,00:30.0,0,19:00:55,0,0,0,0,1
78,19:02:11,19:30:34,19:36:09,28:23.0,05:35.0,0,29,1,0,0,1
80,19:03:31,19:37:04,19:40:18,33:33.0,03:14.0,0,18,1,0,0,1
81,19:04:00,0,0,01:30.0,0,19:05:30,0,0,0,0,1
84,19:06:43,19:41:12,19:43:17,34:29.0,02:05.0,0,4,0,1,0,1
85,19:08:31,19:44:03,19:47:46,35:32.0,03:43.0,0,8,0,1,0,1
86,19:14:12,19:48:22,19:53:18,34:10.0,04:56.0,0,16,0,1,0,1
87,19:16:55,19:53:32,19:58:09,36:37.0,04:37.0,0,15,0,1,0,1
88,19:18:23,0,0,00:47.0,0,19:19:10,0,0,0,0,1
89,19:22:01,19:58:37,20:05:12,36:36.0,06:35.0,0,22,1,0,0,1
90,19:26:45,20:06:13,20:08:28,39:28.0,02:15.0,0,8,0,1,0,1
91,19:27:51,20:09:56,20:12:23,42:05.0,02:27.0,0,9,1,0,0,1
92,19:32:05,20:12:31,20:18:09,40:26.0,05:38.0,0,18,1,0,0,1
93,19:34:43,20:19:12,20:25:32,44:29.0,06:20.0,0,22,1,0,0,1
94,19:38:30,20:25:46,20:31:57,47:16.0,06:11.0,0,23,0,1,0,1
95,19:47:31,20:33:22,20:36:25,45:51.0,03:03.0,0,13,1,0,0,1
96,19:49:23,20:36:51,20:42:11,47:28.0,05:20.0,0,16,0,1,0,1
97,19:55:21,20:43:30,20:46:53,48:09.0,03:23.0,0,10,0,1,0,1
98,19:57:12,20:47:16,20:49:12,50:04.0,01:56.0,0,1,0,1,0,1
99,19:58:23,20:49:17,20:53:14,50:54.0,03:57.0,0,15,1,0,0,1
100,19:59:51,20:54:41,20:58:17,54:50.0,03:36.0,0,16,1,0,0,1
